ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000002095;ENSMUST00000114689	Mll;All1;Hrx;Mll1	Histone-lysine N-methyltransferase HRX;Zinc finger protein HRX;ALL-1	Isoform 1 of Histone-lysine N-methyltransferase MLL;Isoform 2 of Histone-lysine N-methyltransferase MLL	3966	60.58	769.23	6.91	8.91
ENSMUST00000032192;ENSMUST00000113204;ENSMUST00000113207;ENSMUST00000113208	Itpr1;Insp3r;Pcd6;Pcp1	"Inositol 1,4,5-trisphosphate receptor type 1;Type 1 inositol 1,4,5-trisphosphate receptor;Type 1 InsP3 receptor;IP3 receptor isoform 1;InsP3R1;Inositol 1,4,5-trisphosphate-binding protein P400;Purkinje cell protein 1;Protein PCD-6"	"Isoform 1 of Inositol 1,4,5-trisphosphate receptor type 1;Isoform 3 of Inositol 1,4,5-trisphosphate receptor type 1;Isoform 2 of Inositol 1,4,5-trisphosphate receptor type 1;Isoform 4 of Inositol 1,4,5-trisphosphate receptor type 1;Isoform 5 of Inositol 1,"	2749	92.32	490.04	4.31	6.67
ENSMUST00000055758;ENSMUST00000112251	Ubr3;Kiaa2024;Zfp650;Znf650	E3 ubiquitin-protein ligase UBR3;N-recognin-3;Ubiquitin-protein ligase E3-alpha-3;Ubiquitin-protein ligase E3-alpha-III;Zinc finger protein 650	E3 ubiquitin-protein ligase UBR3 isoform 1;Isoform 1 of E3 ubiquitin-protein ligase UBR3;Isoform 3 of E3 ubiquitin-protein ligase UBR3	1892	115.04	611.88	10.73	13.12
ENSMUST00000034980	Atr;Kiaa4069	Serine/threonine-protein kinase ATR;Ataxia telangiectasia and Rad3-related protein	ataxia telangiectasia and rad3 related	2641	121.83	30.91	2.93	2.29
ENSMUST00000090933	Ash1l	Probable histone-lysine N-methyltransferase ASH1L;Absent small and homeotic disks protein 1 homolog;ASH1-like protein	Probable histone-lysine N-methyltransferase ASH1L	2958	125.09	11613.02	11.48	10.61
ENSMUST00000023165;ENSMUST00000080297	Crebbp;Cbp	CREB-binding protein;Crebbp protein	CREB-binding protein;CREB binding protein;266 kDa protein	2441	149.56	315.5	8.77	5.77
ENSMUST00000056978	Kif13a	Kinesin-like protein KIF13A	Kinesin-like protein KIF13A	1749	149.63	97.28	4.21	6.11
ENSMUST00000101551;ENSMUST00000064536	Adam17;Tace	Putative uncharacterized protein;Disintegrin and metalloproteinase domain-containing protein 17;TNF-alpha-converting enzyme;TNF-alpha convertase	Putative uncharacterized protein;a disintegrin and metalloprotease domain 17 precursor;Isoform Long of Disintegrin and metalloproteinase domain-containing protein 17	846	179.1	212.91	16.38	20.81
ENSMUST00000088310	Phf3	Phf3 protein	PHD finger protein 3	2025	189.85	9678.48	9.52	10.3
ENSMUST00000002502	Hltf;Smarca3;Snf2l3;Zbu1	Helicase-like transcription factor;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3;Sucrose nonfermenting protein 2-like 3;TNF-response element-binding protein;P113;Putative uncharacterized protein	"Helicase-like transcription factor;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3 isoform 2;Helicase-like transcription factor"	1003	190.35	295.28	3.74	4.44
ENSMUST00000075164	Kif21b;Kif6	Kinesin-like protein KIF21B;Kinesin-like protein KIF6	Kinesin-like protein KIF21B	1668	191.16	442.89	2.22	2.3
ENSMUST00000037943;ENSMUST00000118100;ENSMUST00000118340	Rapgef2;Kiaa0313;Pdzgef1	Rap guanine nucleotide exchange factor 2;Neural RAP guanine nucleotide exchange protein;PDZ domain-containing guanine nucleotide exchange factor 1	166 kDa protein;Rap guanine nucleotide exchange factor (GEF) 2	1496	192.74	1116.58	8.48	9.36
ENSMUST00000023696;ENSMUST00000118390	Synj1;Kiaa0910	"Synaptojanin-1;Synaptic inositol-1,4,5-trisphosphate 5-phosphatase 1"	synaptojanin 1 isoform a;176 kDa protein;Synaptojanin-1;77 kDa protein	1616	220.03	14.59	2.68	4.13
ENSMUST00000046717;ENSMUST00000079934;ENSMUST00000110773;ENSMUST00000110774	Mga;Kiaa4252	MAX gene-associated protein	MAX-interacting protein isoform 1;329 kDa protein;Isoform 3 of MAX gene-associated protein;MAX-interacting protein isoform 2	3042	223.58	54.17	6.47	5.95
ENSMUST00000094053	Tnrc6a;Kiaa1460	Trinucleotide repeat-containing gene 6A protein	Trinucleotide repeat-containing gene 6A protein	1896	225.8	221.38	17.83	17.97
